Taxon,RL,A,B,R,AL,BM,NV,SV,PA,V,nT,oT,S,K,St,O,N,W,B_duplicated_0,VA,Areal,LD
"Herbst-Wendelähre, -Drehähre","Gute Vorkommen auf Weiden, die nie güllebehandelt wurden. Standorte werden in Grenzertragslagen bei Hofauflassungen oft aufgeforstet oder verbuschen. Im östlichen Alpengebiet stark gefährdet.",,,,,,,,,,,,,,,,,,,,,
Spirodela polyrhiza,LC,3,0,-1,VU,●,●,●,●,●,–,–,●,●,●,●,●,●,●,,Kosm,S
Vielwurzlige Teichlinse,Im Alpengebiet abseits des Bodensees stark gefährdet.,,,,,,,,,,,,,,,,,,,,,
Sporobolus aculeatus,VU,2,-1,-1,,,,,●,,,,,,,–,†,†,●,,Euras,H
Syn. Crypsis aculeata,"Im Neusiedlersee-Gebiet durch Austrocknen der Lacken gefördert, im Pulkautal (Niederösterreich) seit etwa 30 Jahren ausgestorben.",,,,,,,,,,,,,,,,,,,,,
Dorngras,,,,,,,,,,,,,,,,,,,,,,
Sporobolus alopecuroides,CR,1,-2,-2,,,,,●,,,,,,,–,●,†,●,,Hol,H
"Syn. Crypsis alopecuroides, Heleochloa alopecuroides",Im Marchtal an sandigen Nassstellen in den letzten Jahren wegen ausbleibender Hochwässer nicht entwickelt. Am Leithaboden in Ackernassstellen von Bewirtschaftung und Niederschlägen abhängig.,,,,,,,,,,,,,,,,,,,,,
Fuchsschwanz-Sumpfgras,,,,,,,,,,,,,,,,,,,,,,
Sporobolus neglectus,n,,,,,,,,,u,e,e,e?,e,u,u,u,,,,,H
Verkanntes Samenwerfergras,,,,,,,,,,,,,,,,,,,,,,
Sporobolus schoenoides,EN,2,-2,-2,,,,,●,,,,,,,,†?,,●,,Kosm,H
"Syn. Crypsis schoenoides, Heleochloa schoenoides","Art feuchter, sandiger, meist salzbeeinflusster Standorte, in starkem Rückgang. Außerhalb des Neusiedlersee-Gebiets möglicherweise ausgestorben.",,,,,,,,,,,,,,,,,,,,,
Knopfbinsen-Sumpfgras,,,,,,,,,,,,,,,,,,,,,,
Sporobolus vaginiflorus,n,,,,,,,,,u,le,e?,e?,e,u,u,,,u,,,H
Scheidiges Samenwerfergras,,,,,,,,,,,,,,,,,,,,,,
Stachys alpina,LC,4,0,0,●,,VU,CR,CR,●,●,●,●,●,●,●,●,●,●,,Eur,S
Alpen-Ziest,,,,,,,,,,,,,,,,,,,,,,
Stachys annua,NT,4,-2,-1,EN,EN,EN,EN,●,†,u,u,u,●,●,●,●,●,●,,Euras,H
Einjähriger Ziest,,,,,,,,,,,,,,,,,,,,,,
Stachys germanica,EN,2,-2,-1,●,CR,RE,RE?,●,●*,●*,u,u,●,●,†,●,●,●,,Euras,S
Deutscher Ziest,"Im westlichen Alpengebiet wohl nur neophytisch, heute weithin verschwunden.",,,,,,,,,,,,,,,,,,,,,
Stachys palustris,LC,5,-1,0,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Hol,S
Sumpf-Ziest,Auch subruderal.,,,,,,,,,,,,,,,,,,,,,
Stachys recta subsp. labiosa,NT,2,0,-1,●,,,,,,,,,●,,,,,,,Eur,S
Großlippiger Aufrechter Ziest,,,,,,,,,,,,,,,,,,,,,,
Stachys recta subsp. recta,NT,4,-2,-1,●,●,VU,EN,●,●,●,●,●,●,●,●,●,●,●,,Eur,S
Gewöhnlicher Aufrechter Ziest,,,,,,,,,,,,,,,,,,,,,,
Stachys sylvatica,LC,5,0,0,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Euras,S
Wald-Ziest,,,,,,,,,,,,,,,,,,,,,,
Staphylea pinnata,LC,3,0,0,●,●,●,,●,●,u,,●,le,u,●,●,●,●,,Eur,B
Pimpernuss,,,,,,,,,,,,,,,,,,,,,,
Stellaria alsine,LC,5,0,0,●,●,●,VU,RE?,●,●,●,●,●,●,●,●,●,●,,Kosm,S
Bach-Sternmiere,An Forststraßenrändern der montanen Stufe auch subruderal.,,,,,,,,,,,,,,,,,,,,,
Stellaria apetala,LC,3,+1,0,"RE, n",●,●,●,●,†,e,u,e,u,●,●,●,●,●,,Eur (Kosm),H
Syn. S. pallida,,,,,,,,,,,,,,,,,,,,,,
(S. media agg.),,,,,,,,,,,,,,,,,,,,,,
Bleiche Vogel-Sternmiere,,,,,,,,,,,,,,,,,,,,,,
Stellaria aquatica,LC,5,-1,-1,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Euras (Hol),S
"Wasser-Sternmiere, Wassermiere",,,,,,,,,,,,,,,,,,,,,,
Stellaria glochidisperma,LC,2,0,0,●,,,●,,,,,,●,●,–,,,,,Eur,S
Syn. S. montana,,,,,,,,,,,,,,,,,,,,,,
(S. nemorum agg.),,,,,,,,,,,,,,,,,,,,,,
Berg-Sternmiere,,,,,,,,,,,,,,,,,,,,,,
Stellaria graminea,LC,5,-1,-1,●,●,●,●,NT,●,●,●,●,●,●,●,●,●,●,,Euras,S
Gras-Sternmiere,,,,,,,,,,,,,,,,,,,,,,
Stellaria holostea → Rabelera,,,,,,,,,,,,,,,,,,,,,,
Stellaria longifolia,LC,2,0,0,●,EN,,,,,●,●,●,●,●,●,,,,,Hol,S
Langblättrige Sternmiere,,,,,,,,,,,,,,,,,,,,,,
Stellaria media s.str.,LC,5,0,0,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Kosm,H
(S. media agg.),,,,,,,,,,,,,,,,,,,,,,
Gewöhnliche Vogel-Sternmiere,,,,,,,,,,,,,,,,,,,,,,
Stellaria montana → S. glochidisperma,,,,,,,,,,,,,,,,,,,,,,
Stellaria neglecta,G,?,?,?,●,●,VU,●,●,?,●,,–,●,●,●,●,●,●,,Euras,H
(S. media agg.),"Verbreitung in Österreich unklar, Verwechslungen mit Stellaria ruderalis sind vorgekommen.",,,,,,,,,,,,,,,,,,,,,
Großblütige Vogel-Sternmiere,,,,,,,,,,,,,,,,,,,,,,
Stellaria nemorum s.str.,LC,5,0,0,●,●,●,●,VU,●,●,●,●,●,●,●,●,●,●,,Euras,S
(S. nemorum agg.),,,,,,,,,,,,,,,,,,,,,,
Wald-Sternmiere i. e. S.,,,,,,,,,,,,,,,,,,,,,,
Stellaria pallida → S. apetala,,,,,,,,,,,,,,,,,,,,,,
Stellaria palustris,EN,2,-2,-1,,CR,RE,,●,,,,,,,●,●,●,,,Euras,S
Sumpf-Sternmiere,,,,,,,,,,,,,,,,,,,,,,
Stellaria ruderalis,LC,?,0,0,●,●,●,?,●,,,●,,,,●,●,●,,,Eur,H
(S. media agg.),"Erst kürzlich beschrieben (Lepší & al. 2019), Verbreitung unzureichend bekannt.",,,,,,,,,,,,,,,,,,,,,
Ruderale Vogel-Sternmiere,,,,,,,,,,,,,,,,,,,,,,
Stemmacantha rhapontica → Rhaponticum,,,,,,,,,,,,,,,,,,,,,,
Stipa borysthenica,CR,1,?,-2,,,,,●,,,,,,,,●,,,,Eur,S
Syn. S. sabulosa,Nur über sauren Sanden im March-Thaya-Tal.,,,,,,,,,,,,,,,,,,,,,
(S. pennata agg.),,,,,,,,,,,,,,,,,,,,,,
Sand-Federgras,,,,,,,,,,,,,,,,,,,,,,
Stipa capillata,NT,3,-1,-1,VU,●,,RE*,●,,●,†,,●,●,–,●,●,●,,Euras,S
Pfriemengras,"Im Alpengebiet sind nur die Vorkommen im Oberinntal in gutem Zustand, in den übrigen Alpenteilen ist die Gefährdung sehr hoch; die ehemaligen Vorkommen bei Graz waren vermutlich nicht heimisch und sind längst erloschen.",,,,,,,,,,,,,,,,,,,,,
Stipa dasyphylla,CR,1,-1,-2,,●,,,,,,,,,,,●,,,D,Euras,S
(S. pennata agg.),"Sehr lokal im Nationalpark Thayatal, nur in einem abgezäunten Teilbereich ist die Population stabil (Schmitzberger & Thurner 2020).",,,,,,,,,,,,,,,,,,,,,
Flaumblättriges Federgras,,,,,,,,,,,,,,,,,,,,,,
Stipa epilosa,VU,1,0,-1,●,,,,,,●,,,,,,,,,,Eur,S
Inkl. subsp. montana,"In Nordtirol sehr lokal in felsigen Silikat-Trockenrasen des Oberinntals bei Nauders (Gutermann & Danihelka 2019), der taxonomische Wert dieser Sippe ist aber fraglich.",,,,,,,,,,,,,,,,,,,,,
(S. pennata agg.),,,,,,,,,,,,,,,,,,,,,,
Kahles Federgras,,,,,,,,,,,,,,,,,,,,,,
Stipa eriocaulis,NT,2,0,-1,●,,,,●,,●,,●,●,●,,●,●,●,,Eur,S
Inkl. subsp. austriaca,Die früher unterschiedenen Unterarten dürften taxonomisch wertlos sein. Im Alpengebiet außerhalb von Nordtirol gefährdet.,,,,,,,,,,,,,,,,,,,,,
(S. pennata agg.),,,,,,,,,,,,,,,,,,,,,,
Zierliches Federgras,,,,,,,,,,,,,,,,,,,,,,
Stipa pennata s.str.,VU,3,-2,-1,●,●,RE,,●,,–,,,●,●,†,●,●,●,,Euras,S
Syn. S. joannis,"Im inneren Alpengebiet nur lokal (vgl. Pils 2021a), dort stark gefährdet.",,,,,,,,,,,,,,,,,,,,,
(S. pennata agg.),,,,,,,,,,,,,,,,,,,,,,
Grauscheidiges Federgras,,,,,,,,,,,,,,,,,,,,,,
Stipa pulcherrima,EN,2,-2,-1,CR,●,,,●,,,,,●,,,●,,?,,Euras,S
(S. pennata agg.),,,,,,,,,,,,,,,,,,,,,,
Großes Federgras,,,,,,,,,,,,,,,,,,,,,,
Stipa styriaca,CR,1,-2,-2,●,,,,,,,,,●,●,,,,,E,ZE-Alp*!,S
(S. pennata agg.),"Endemit, lokal an Trockenhängen des Murgebiets bei Pölshof und Oberkurzheim sowie bei Althaus in Nordostkärnten. Bei Pölshof derzeit durch Schafbeweidung gefördert (H. Kammerer & P. Hochleitner, pers. Mitt.). Art der FFH-Richtlinie, Anhang II und IV. Die Abgrenzung gegenüber Stipa pennata ist kritisch.",,,,,,,,,,,,,,,,,,,,,
Steirisches Federgras,,,,,,,,,,,,,,,,,,,,,,
Stipa tirsa,CR,1,-3,-3,,,,,●,,,,,,,,●,,,,Eur,S
Syn. S. stenophylla,Rezent nur noch eine Population in Trockenrasen am Heidberg (nördliches Weinviertel).,,,,,,,,,,,,,,,,,,,,,
(S. pennata agg.),,,,,,,,,,,,,,,,,,,,,,
Schmalblättriges Federgras,,,,,,,,,,,,,,,,,,,,,,
Stratiotes aloides,CR,1,-3,-2,n,,●,,●,u,le,,,,,●,●,●,,,Euras,S
Krebsschere,An Primärstandorten fast überall ausgestorben. Auch in Gartenteichen kultiviert und an naturnahen Standorten angesalbt.,,,,,,,,,,,,,,,,,,,,,
Streptopus amplexifolius,LC,4,0,0,●,EN,,,,●,●,●,●,●,●,●,●,,,,Hol,S
Knotenfuß,,,,,,,,,,,,,,,,,,,,,,
Struthiopteris spicant,LC,4,0,0,●,●,●,●,,●,●,●,●,●,●,●,●,,●,,Hol,S
Syn. Blechnum spicant,"In den Tieflagen durch dichten Bestandesschluss der Wälder leicht rückläufig (G. Karrer, pers. Mitt.).",,,,,,,,,,,,,,,,,,,,,
Rippenfarn,,,,,,,,,,,,,,,,,,,,,,
Stuckenia filiformis,EN,2,-2,-1,●,,●,,,●,●,,●,●,●,●,,–,,,Hol,S
Syn. Potamogeton filiformis,Angaben aus dem Pannonikum (Wien: Lobau) sind irrig.,,,,,,,,,,,,,,,,,,,,,
Faden-Laichkraut,,,,,,,,,,,,,,,,,,,,,,
Stuckenia pectinata,LC,3,0,0,●,VU,●,VU,●,●,●,?,●,●,●,●,●,●,●,,Kosm,S
Syn. Potamogeton pectinatus; inkl. subsp. balatonicus,,,,,,,,,,,,,,,,,,,,,,
Kamm-Laichkraut,,,,,,,,,,,,,,,,,,,,,,
Suaeda pannonica s.orig.,VU,3,-2,-2,,,,,●,,,,,,,,†,†,●,,Eur,H
Syn. S. prostrata auct.,,,,,,,,,,,,,,,,,,,,,,
(S. maritima agg.),,,,,,,,,,,,,,,,,,,,,,
Große Salzmelde,,,,,,,,,,,,,,,,,,,,,,
Suaeda prostrata,EN,2,-2,-2,,,,,●,,,,,,,,†,,●,D,Euras,H
Syn. S. pannonica auct.,,,,,,,,,,,,,,,,,,,,,,
(S. maritima agg.),,,,,,,,,,,,,,,,,,,,,,
Kleine Salzmelde,,,,,,,,,,,,,,,,,,,,,,
Succisa pratensis,VU,4,-3,-2,●,●,●,●,EN,●,●,●,●,●,●,●,●,●,●,,Euras,S
Teufelsabbiss,,,,,,,,,,,,,,,,,,,,,,
Succisella inflexa,EN,2,-2,-2,CR,,RE,●,CR,,,,,●,●,●,●,●,●,,Eur,S
Sumpfabbiss,,,,,,,,,,,,,,,,,,,,,,
Swertia perennis,NT,3,-1,-1,●,,CR,,RE,●,●,●,●,●,●,●,●,,,,Eur,S
Tarant,"In den 1990er-Jahren im Wiener Becken ausgestorben (N. Sauberer, pers. Mitt.).",,,,,,,,,,,,,,,,,,,,,
Symphoricarpos albus subsp. laevigatus,n,,,,,,,,,e,u,u,e,u,u,e,u,u,u,,,B
Schneebeere,,,,,,,,,,,,,,,,,,,,,,
Symphyotrichum laeve,n,,,,,,,,,u,u,u,u,u,u,u,le,u,u,,,S
Syn. Aster laevis,,,,,,,,,,,,,,,,,,,,,,
(S. novi-belgii agg.),,,,,,,,,,,,,,,,,,,,,,
Kahle Herbstaster,,,,,,,,,,,,,,,,,,,,,,
Symphyotrichum lanceolatum,n,,,,,,,,,e,e,u,e,e,e,e,e,e,e,,,S
Syn. Aster lanceolatus,,,,,,,,,,,,,,,,,,,,,,
(S. novi-belgii agg.),,,,,,,,,,,,,,,,,,,,,,
Lanzett-Herbstaster,,,,,,,,,,,,,,,,,,,,,,
Symphyotrichum novi-belgii s.str.,n,,,,,,,,,e,le,u,e,e,e,u,e,e,e,,,S
Syn. Aster novi-belgii,,,,,,,,,,,,,,,,,,,,,,
(S. novi-belgii agg.),,,,,,,,,,,,,,,,,,,,,,
Neubelgien-Herbstaster,,,,,,,,,,,,,,,,,,,,,,
Symphyotrichum x salignum,n,,,,,,,,,le,le,,le,u,u,le,le,u,u,,,S
Syn. Aster x salignus,,,,,,,,,,,,,,,,,,,,,,
(S. novi-belgii agg.),,,,,,,,,,,,,,,,,,,,,,
Weiden-Herbstaster,,,,,,,,,,,,,,,,,,,,,,
Symphytum bulbosum,n,,,,,,,,,,,,,,,,,,le?,,,S
Kleiner Beinwell,,,,,,,,,,,,,,,,,,,,,,
Symphytum officinale,LC,5,-1,0,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Eur (Kosm),S
Inkl. S. bohemicum.,Auch subruderal.,,,,,,,,,,,,,,,,,,,,,
Echter Beinwell,,,,,,,,,,,,,,,,,,,,,,
Symphytum tuberosum s.lat.,LC,5,0,0,●,●,●,●,●,,●,●,●,●,●,●,●,●,●,,Eur,S
Knollen-Beinwell,,,,,,,,,,,,,,,,,,,,,,
Syringa vulgaris,n,,,,,,,,,u,u,le,e,le,le,u,e,e,e,,,B
Gewöhnlicher Flieder,,,,,,,,,,,,,,,,,,,,,,
Tamus communis → Dioscorea,,,,,,,,,,,,,,,,,,,,,,
Tanacetum clusii,LC,2,0,0,●,,,,,,?,,●,●,●,,●,,●,,Eur,S
Syn. T. corymbosum subsp. subcorymbosum,,,,,,,,,,,,,,,,,,,,,,
(T. corymbosum agg.),,,,,,,,,,,,,,,,,,,,,,
Berg-Strauß-Wucherblume,,,,,,,,,,,,,,,,,,,,,,
Tanacetum corymbosum s.str.,NT,3,-1,-1,●,●,VU,●,●,u,†,,?,●,●,●,●,●,●,,Euras,S
(T. corymbosum agg.),Im Klagenfurter Becken gefährdet.,,,,,,,,,,,,,,,,,,,,,
Gewöhnliche Strauß-Wucherblume,,,,,,,,,,,,,,,,,,,,,,
Tanacetum parthenium,n,,,,,,,,,e,e,e,e,e,e,e,e,e,e,,,H
Mutterkraut,,,,,,,,,,,,,,,,,,,,,,
Tanacetum vulgare,LC,5,0,0,●,●,●,●,●,u,●,●,●,●,●,●,●,●,●,,Euras (Kosm),S
Rainfarn,Teilweise synanthrop.,,,,,,,,,,,,,,,,,,,,,
Taraxacum,"Im Folgenden werden nur in neuerer Zeit verifizierte Kleinarten angeführt. Zusätzliche Angaben, v.a. in den Arbeiten von van Soest, Hartl & al. (1992: oft nach van Soest) und in Polatschek (1999 samt Nachträgen: meist auf Bestimmungen früherer Taraxacum-Spezialisten beruhend) müssen erst verifiziert werden.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Taraxacum Sect. Alpestria,,,,,,,,,,,,,,,,,,,,,,
Syn. T. alpestre agg.,"Taxonomisch nicht geklärt und/oder für Österreich nicht gesichert sind außerdem Angaben von: T. aurantellum (Hartl & al. 1992, Polatschek 1999), T. congestilobum (Polatschek 1999), T. cordatifolium (Stöhr & Pilsl 2018), T. crocellum (Hartl & al. 1992, Polatschek 1999), T. fontqueri (Polatschek 1999), T. grandiflorum (Polatschek & Neuner 2013a), T. gurglense (Richards 1972, Polatschek 1999), T. lanjouwii (Soest 1969), T. magnopyramidophorum (Hartl & al. 1992, Polatschek 1999), T. martellense (Stöhr & Pilsl 2018), T. obovatifolium (Polatschek 1999), T. ooststroomii (Soest 1966b), T. polycercum (Polatschek 1999), T. praeticum (Polatschek 1999, Stöhr & Pilsl 2018), T. reophilum (Polatschek 1999), T. rhaeticum (inkl. T. strictilobum; Polatschek 1999, Stöhr & Pilsl 2018), T. rufonerve (Soest 1969, Hartl & al. 1992), T. samuelssonii (Polatschek 1999), T. unicoloratum (Richards 1972, Polatschek 1999).",,,,,,,,,,,,,,,,,,,,,
Sektion Gebirgs-Löwenzahn,,,,,,,,,,,,,,,,,,,,,,
Taraxacum albulense,DD,?,?,?,●,,,,,●,●,,,,,,,,,,Alp,S
Syn. T. simpliciusculum,,,,,,,,,,,,,,,,,,,,,,
Taraxacum hercynicum,LC,3,0,0,●,,,,,,,,●,●,●,●,●,,,,Eur,S
Taraxacum nigritum,DD,?,?,?,●,,,,,●,,,,●,,,,,,E,E-Alp!,S
Taraxacum pallidisquameum,DD,?,?,?,●,,,,,●,●,,,●,,,,,,,E-Alp,S
Taraxacum perfissum,LC,3,?,0,●,,,,,●,●,●,●,●,,,,,,,Eur,S
Inkl. T. vereinense,,,,,,,,,,,,,,,,,,,,,,
Taraxacum podlechianum,VU,1,0,-1,●,,,,,,,,●,,,,,,,,Eur,S
Taraxacum Sect. Alpina,,,,,,,,,,,,,,,,,,,,,,
Syn. T. alpinum agg.,"Taxonomisch nicht geklärt und/oder für Österreich nicht gesichert sind außerdem Angaben von: T. mattmarkense (Soest 1969), T. melanops (Polatschek 1999), T. pedrottii (Polatschek 1999), T. saasense (Sahlin & Lippert 1983, Polatschek 1999, Stöhr & Pilsl 2018), T. silvrettense (Polatschek 1999).",,,,,,,,,,,,,,,,,,,,,
Sektion Alpen-Löwenzahn,,,,,,,,,,,,,,,,,,,,,,
Taraxacum helveticum,LC,2,0,0,●,,,,,●,●,●,●,●,,,,,,,Alp,S
Taraxacum obitsiense,LC,2,0,0,●,,,,,,●,●,●,●,,●,,,,S,E-Alp?,S
Taraxacum panalpinum,LC,2,0,0,●,,,,,●,●,●,●,●,●,●,●,,,,E-Alp?,S
Inkl. T. aestivum,,,,,,,,,,,,,,,,,,,,,,
Taraxacum petiolulatum,LC,2,0,0,●,,,,,●,●,●,●,●,●,,,,,,Alp,S
Inkl. T. parsennense,,,,,,,,,,,,,,,,,,,,,,
Taraxacum rufocarpum,DD,?,?,?,●,,,,,●,●,●,●,●,,,,,,,E-Alp?,S
Taraxacum senile,LC,2,0,0,●,,,,,,●,,●,●,●,,,,,,E-Alp,S
Taraxacum venustum,LC,3,0,0,●,,,,,●,●,●,●,●,●,●,,,,,E-Alp?,S
Inkl. T. carinthiacum,,,,,,,,,,,,,,,,,,,,,,
Taraxacum vernelense,LC,2,0,0,●,,,,,,●,●,●,●,●,●,,,,,E-Alp?,S
Taraxacum vetteri,LC,1,0,0,●,,,,,●,●,●,●,●,●,●,,,,S,E-Alp,S
Taraxacum Sect. Arctica,,,,,,,,,,,,,,,,,,,,,,
Syn. T. phymatocarpum agg.,,,,,,,,,,,,,,,,,,,,,,
Taraxacum reichenbachii,VU,1,0,-1,●,,,,,,●,●,,,,,,,,S,E-Alp,S
Reichenbach-Löwenzahn,,,,,,,,,,,,,,,,,,,,,,
Taraxacum Sect. Borealia,,,,,,,,,,,●,●,,●,,,,,,,,
Syn. T. ceratophorum agg.,Die Artzugehörigkeit der Kärntner Pflanzen (Glocknergruppe: Melzer 1987 als T. ceratophorum agg.) ist noch nicht geklärt.,,,,,,,,,,,,,,,,,,,,,
Sektion Horn-Löwenzahn,,,,,,,,,,,,,,,,,,,,,,
Taraxacum handelii,VU,1,0,-1,●,,,,,,●,●,,,,,,,,S,E-Alp,S
Handel’scher Löwenzahn,,,,,,,,,,,,,,,,,,,,,,
Taraxacum kraettlii,VU,1,0,-1,●,,,,,,●,,,,,,,,,,E-Alp,S
Krättli-Löenzahn,,,,,,,,,,,,,,,,,,,,,,
Taraxacum mazzettii,VU,1,0,-1,●,,,,,,●,,,,,,,,,,E-Alp,S
Mazzetti-Löwenzahn,,,,,,,,,,,,,,,,,,,,,,
Taraxacum melzerianum,VU,1,0,-1,●,,,,,,●,●,,,,,,,,E,E-Alp!,S
Melzer-Löwenzahn,,,,,,,,,,,,,,,,,,,,,,
Taraxacum Sect. Celtica,,,,,,,,,,,,,,,,,,,,,,
Syn. T. celticum agg.,,,,,,,,,,,,,,,,,,,,,,
Taraxacum nordstedtii,CR,1,?,-2,?,●,,,,?,,,,,,,●,,,,Eur,S
Nordtstedt-Löwenzahn,Möglicherweise auch in Vorarlberg (Dörr & Lippert 2004).,,,,,,,,,,,,,,,,,,,,,
Taraxacum Sect. Crocea,,,,,,,,,,●,●,●,●,●,●,,●,,,,,
"Syn. T. Sect. Fontana, T. fontanum agg.","Taxonomisch nicht geklärt und/oder für Österreich nicht gesichert sind außerdem Angaben von: T. absurdum (Polatschek 1999), T. croceicarpum (Hartl & al. 1992, Polatschek 1999), T. peralatum (Polatschek 1999), T. silvicola (Polatschek 1999).",,,,,,,,,,,,,,,,,,,,,
Sektion Quell-Löwenzahn,,,,,,,,,,,,,,,,,,,,,,
Taraxacum fontanosquameum,DD,?,?,?,●,,,,,●,●,●,●,●,,●,,,,,Alp,S
Taraxacum fontanum s.str.,DD,?,?,?,●,,,,,●,●,●,●,●,,,,,,,Alp?,S
"Inkl. T. cochleatophyllum, T. fontanicola",,,,,,,,,,,,,,,,,,,,,,
Taraxacum pseudofontanum,DD,?,?,?,●,,,,,●,●,,●,●,,,,,,,E-Alp?,S
Taraxacum Sect. Cucullata,,,,,,,,,,,,,,,,,,,,,,
Syn. T. cucullatum agg.,"Taxonomisch nicht geklärt sind außerdem Angaben von: T. concucullatum (Richards 1972, Polatschek 1999).",,,,,,,,,,,,,,,,,,,,,
Sektion Kapuzen-Löwenzahn,,,,,,,,,,,,,,,,,,,,,,
Taraxacum cucullatum s.str.,LC,2,0,0,●,,,,,●,●,●,●,●,●,●,●,,,,Alp,S
Eigentlicher Kapuzen-Löwenzahn,,,,,,,,,,,,,,,,,,,,,,
Taraxacum tiroliense,LC,2,0,0,●,,,,,●,●,●,●,●,,,,,,,E-Alp,S
Tiroler Kapuzen-Löwenzahn,,,,,,,,,,,,,,,,,,,,,,
Taraxacum Sect. Dioszegia,,,,,,,,,,,,,,,,,,,,,,
Taraxacum serotinum,EN,2,-2,-2,,,n,,●,,,,,,,u,●,●,●,,Euras,S
Löss-Löwenzahn,,,,,,,,,,,,,,,,,,,,,,
Taraxacum Sect. Erythrocarpa,,,,,,,,,,,,,,,,,,,,,,
Syn. T. erythrocarpum agg.,,,,,,,,,,,,,,,,,,,,,,
Sektion Rotfrucht-Löwenzahn,,,,,,,,,,,,,,,,,,,,,,
Taraxacum aquilonare s. str. → Sect. Obliqua s. lat.,,,,,,,,,,,,,,,,,,,,,,
Taraxacum fastuosum,DD,?,?,?,●,,,,,,,,,●,,,,,,,SE-Alp,S
,Vgl. Štěpánek & Kirschner (2022).,,,,,,,,,,,,,,,,,,,,,
Taraxacum Sect. Erythrosperma,,,,,,,,,,●,●,●,●,●,●,●,●,●,●,,,
Syn. T. laevigatum agg.,"Taxonomisch nicht geklärt und/oder für Österreich nicht gesichert sind außerdem Angaben von: T. brachyglossum (Soest 1966c), T. brunneum (Soest 1966a, Polatschek 1999), T. decipiens (Doll 1973), T. discretum (Soest 1966c), T. disseminatum (Soest 1966c, Doll 1973), T. fulvum (Doll 1973), T. isophyllum (Doll 1973), T. marginatum (Doll 1973), T. parvilobum (Soest 1969), T. perincisum (Doll 1973, als T. helvicarpum), T. proximum (Soest 1966c, Hartl & al. 1992), T. purpureomarginatum (Soest 1966c, 1969, Hartl & al. 1992), T. rubicundum (Soest 1966c), T. scanicum (Hartl & al. 1992, Polatschek 1999, Hohla & al. 2009), T. subdissimile (Soest 1966c, 1969).",,,,,,,,,,,,,,,,,,,,,
Sektion Schwielen-Löwenzahn,,,,,,,,,,,,,,,,,,,,,,
Taraxacum bellicum,DD,?,?,?,,,,,●,,,,,,,,●,,●,,Eur,S
Taraxacum cristatum,DD,?,?,?,,,,,●,,,,,,,,●,,?,,Eur,S
Taraxacum danubium,DD,?,?,?,,,,,●,,,,,,,,●,,,,Eur,S
Taraxacum erythrospermum,DD,?,?,?,●,●,,,●,,,,,,●,,●,●,●,,Eur,S
Taraxacum lacistophylloides,DD,?,?,?,●,●,,,,,,,,,,,●,●,,,Eur,S
Taraxacum maricum,DD,?,?,?,,●,,,●,,,,,,,,●,,●,,Eur,S
Taraxacum parnassicum,DD,?,?,?,●,?,,,●,,●,●,●,●,,,●,●,●,,Eur,S
Taraxacum plumbeum,DD,?,?,?,●,,,,●,,,,●,,,,●,,,,Eur,S
Taraxacum princeps,DD,?,?,?,,●,,,●,,,,,,,,●,,●,,Eur,S
Taraxacum pudicum,DD,?,?,?,,,,,●,,,,,,,,?,,,,Eur,S
Taraxacum tanyolobum,DD,?,?,?,●,,,,●,●,,,,,,,,●,,,Eur,S
Taraxacum Sect. Hamata,DD,?,?,?,●,,,,●,,,,●,,,,●,,,,Eur,S
Syn. T. hamatum agg.,,,,,,,,,,,,,,,,,,,,,,
Sektion Haken-Löwenzahn,,,,,,,,,,,,,,,,,,,,,,
Taraxacum Sect. Obliqua s.lat.,,,,,,,,,,,,,,,,,,,,,,
Inkl. T. aquilonare agg.,,,,,,,,,,,,,,,,,,,,,,
Taraxacum aquilonare s.str.,VU,1,0,-1,●,,,,,,●,,,,,,,,,,Eur,S
Föhntal-Löwenzahn,"Die reliktäre Art wurde früher in die Sektion Erythrocarpa gestellt, wird aber laut Štěpánek & Kirschner (2022) wird nunmehr in die Sektion Obliqua gestellt, die von diesen Autoren neu umgrenzt wurde.",,,,,,,,,,,,,,,,,,,,,
Taraxacum Sect. Pachera,,,,,,,,,,,,,,,,,,,,,,
Syn. T. pacheri agg.,,,,,,,,,,,,,,,,,,,,,,
Taraxacum pacheri,LC,2,0,0,●,,,,,,●,●,●,●,,,,,,,Alp,S
Pacher-Löwenzahn,,,,,,,,,,,,,,,,,,,,,,
Taraxacum Sect. Palustria,CR,2,?,-3,●,●,●,●,●,,,,,,,,,,,,Euras,S
Syn. T. palustre agg.,Vgl. Kirschner & Štěpánek (1998).,,,,,,,,,,,,,,,,,,,,,
Sektion Sumpf-Löwenzahn,,,,,,,,,,,,,,,,,,,,,,
Taraxacum ancoriferum,CR,1,?,-3,●,,,,,,●,,●,,,,,,,,Eur,S
Taraxacum arachnoideum,CR,1,?,-3,●,,,RE?,●,,,,,●,●,,,,●,,Eur,S
Taraxacum austrinum,CR,2,?,-2,●,,●,,,●,●,,●,,●,●,,,,,Eur,S
